transaction_id,customer_id,amount,transaction_date
TX_0000000,CUST_00073,167.06,2023-11-15
TX_0000001,CUST_00000,487.34,2023-06-23
TX_0000002,CUST_00565,385.43,2023-08-30
TX_0000003,CUST_00809,190.83,2023-07-22
TX_0000004,CUST_01060,-12.01,2023-11-28
TX_0000005,CUST_00140,457.97,2023-10-19
TX_0000006,CUST_00582,357.59,2023-10-22
TX_0000007,CUST_01193,161.01,2023-08-10
TX_0000008,CUST_00463,295.31,2023-07-20
TX_0000009,CUST_00931,463.45,2023-10-26
TX_0000010,CUST_00009,115.78,2023-09-13
TX_0000011,CUST_01036,35.36,2023-06-19
TX_0000012,CUST_01030,133.01,2023-06-30
TX_0000013,CUST_01051,477.49,2023-10-16
TX_0000014,CUST_01177,110.07,2023-09-22
TX_0000015,CUST_00772,272.85,2023-12-15
TX_0000016,CUST_00498,373.89,2023-12-16
TX_0000017,CUST_00939,334.43,2023-10-29
TX_0000018,CUST_00056,230.62,2023-08-06
TX_0000019,CUST_00138,178.99,2023-07-27
TX_0000020,CUST_00470,396.08,2023-09-14
TX_0000021,CUST_00723,248.58,2023-06-03
TX_0000022,CUST_00539,109.09,2023-06-24
TX_0000023,CUST_00817,330.32,2023-08-27
TX_0000024,CUST_00155,268.37,2023-07-16
TX_0000025,CUST_00975,143.21,2023-07-26
TX_0000026,CUST_01174,119.92,2023-12-09
TX_0000027,CUST_00389,239.48,2023-07-22
TX_0000028,CUST_00480,362.42,2023-08-07
TX_0000029,CUST_00423,99.19,2023-08-03
TX_0000030,CUST_00729,61.12,2023-06-28
TX_0000031,CUST_00245,458.5,2023-11-21
TX_0000032,CUST_01008,299.19,2023-12-13
TX_0000033,CUST_01108,478.16,2023-10-02
TX_0000034,CUST_00760,302.75,2023-10-05
TX_0000035,CUST_01176,431.76,2023-10-04
TX_0000036,CUST_00374,491.89,2023-10-09
TX_0000037,CUST_00573,186.9,2023-12-10
TX_0000038,CUST_01181,46.69,2023-10-13
TX_0000039,CUST_00866,228.73,2023-10-17
TX_0000040,CUST_00066,241.29,2023-09-09
TX_0000041,CUST_00357,217.74,2023-07-01
TX_0000042,CUST_01061,219.24,2023-11-24
TX_0000043,CUST_00017,-13.85,2023-07-24
TX_0000044,CUST_00777,282.12,2023-08-23
TX_0000045,CUST_00740,298.64,2023-08-06
TX_0000046,CUST_00383,265.25,2023-07-31
TX_0000047,CUST_00551,225.1,2023-11-04
TX_0000048,CUST_00702,170.28,2023-10-06
TX_0000049,CUST_00868,89.48,2023-11-27
TX_0000050,CUST_00762,169.84,2023-09-11
TX_0000051,CUST_00572,214.38,2023-10-25
TX_0000052,CUST_00268,489.22,2023-11-23
TX_0000053,CUST_00468,403.38,2023-12-02
TX_0000054,CUST_00552,398.13,2023-10-21
